Text,"sentiment (-1 for pro-palestine, 0 for natural, 1 for pro-israel)"
"Oliver, like many others alike, are trying to save Israel (a settler colonial entity, an apartheid state) by throwing Netanyahu and his gang under the bus. It is not BB, Smotrich, or Ben-Gvir, it is the whole Zionist ideology which has to go for us to  have peace in Palestine.",-1
"Never Again does not mean that Jews will not fight wars if attacked. We learned last time. 

Wars suck. 

Also, where are you on Syria, Yemen, exactly? 

You criticise Israel because it's safe and popular with your audience",1
The only thing Zionists can do is deflect 😂 it’s wild.,-1
"we demand that Jews have all the same human rights as other people and demand to be treated equally. This includes statehood to protect those rights 

Jews should be judged by the same standards as other people and Israel judged by the same standards as its neighbours",1
"No more double standards and special rules, Treaty of Ummar style. Jews are real people, not props in your games",1
Getting rolled in a war isn't genocide.,1
"You need to understand that Israel isn’t going to stop existing. Its Jews aren’t leaving, and they’re not going to live under Hamas.

Proceed accordingly.",1
"Sigh, when you pepper the whole region with tunnels and then hide hostages and terrorists there, you’re the one who’s responsible for the consequences.",1
"Oh yeah? So decades of occupation mean nothing?  What would you do for your family if you were living under occupation? Would you just sit back and let it happen? Or would you fight for your liberation? Any self-respecting person would fight. If you don't fight, then you're a coward, and don't deserve your freedom.  
#Gaza #Palestine",-1
"I've heard ""Nakba"" described more often as a genocidal attempt by the Arabs to wipe out the fledgling Jewish state that went wrong.

And that Judea and Samaria (called the ""West Bank"" by the Islamic colonizers) are lands that have been inhabited by the Jewish people for thousands of years.

Did I get this right?",1
"Correct; Nakba can be roughly translated as ""Fucked Around, Found Out, And Never Stopped Crying Victim"".

And BTW, if the borders of Israel as established in 1948 are illegitimate, then so are ALL the borders of all the Levant countries established after WWI. Be consistent.",1
"There are two MILLION Palestinians living successfully in Israel (out of 10M pop). Doctors, lawyers, the whole gamut of success. You'd rather have the kid’s rocks turn into grenades, eh? These children have parents encouraging this self-destructive violence, and stopping that practice is always an option.",1
"Israel is an apartheid state that is even bigoted against its own citizens. If you were born in Russia, a European Israeli thinks he's more important than you. 

Not one citizen there is free. 

Get real.",-1
"American woman learns the Zionist Jews literally have a Zionist playbook they download. 

This is why all their talking points are step ford wifeish.

Programmed insane bots.

#FreePalestine",-1
"This world is sick, and our only console is that in God we believe, he is our witness, and he will not disappoint. All those acting almighty and untouchable will face his judgment and be sent to eternal hell. Amen 🤲 #FreePalestine",-1
"Block the barricade until Palestine is free 
@macklemore
 
#ArrestNetanyahu #LetGazaLive #FreePalestine",-1
Israel uses US Tax payers to murder Palestinian Children,-1
ISREAL KILLS,-1
Netanyahu prime minister of genocide,-1
"Before Oct 7th, when Jewish Israelis were protesting Netanyahu for 7 months, a Jew ran over other Jews.
Jew on Jew violence. 

These genocidal maniacs will eat eachother alive.
 
#FreePalestine",-1
"Have you ever seen such animals as the members of Israeli Knesset and the occupying Zionists anywhere in the world? They were rejected from Europe after WWII and no country wanted to have anything to do with them. They have become the world's biggest problem ever.
#FreePalestine",-1
"This is one of 6 intersections closed down around the Capitol during Netanyahu visit. I’m sure old at least 5 arrests made at Independence & 4th
#ArrestNetanyahu #FreePalestine",-1
"Video shows Israeli occupation forces  storming the north-western Palestinian city of Qalqilya, after an Zionist special force was unveiled in the city.

#FreePalestine",-1
"The founder of the KKK was Rothschild and 1 of his agents, Jew, Yehuda Benjamin. 

Just to take the piss, he had Christians burn their own cross and tell them it's the 'light of Christianity'. 

At the peak of slavery, 1% of white skinned males owned slaves, 78% were Jewish. 

Keep Zionists away from your history books. 

""I'm not white I'm Jewish"". Reality check, if darker skinned Jews went to the US Christian churches with their natural color, claimed to be chosen demanding 1 billion like Rothschild? They would had been hung. 

I'm not white I'm Jewish grift is over. 

#FreePalestine",-1
"Jeremy Corbyn: “We said it to the Tories, and now we will say it to Labour: a government that sells arms to Israel is a government that is complicit in crimes against humanity.”

#Gaza #StopArmingIsrael
#FreePalestine",-1
"Scott Ritter, former US intelligence officer: I used to love Israel and Israelis, but Israel is an evil force, a cancer that threatens the entire Middle East region. Israel should be eliminated as a country. 

#FreePalestine 
#GazaGenocide #mondaythoughts",-1
This is what #Canada and #USA supports . Shame on you politicians. #FreePalestine #PALESTINEFROMTHERIVERTOTHESEA,-1
#FreePalestine #BoycottOlympics,-1
"As a Christian I just want to use this opportunity to thank Muslims who have shown sincere respect and veneration for Jesus Christ. You made your voices heard more than many Christians as Christ was mocked and blasphemed for all to see. The Christian world needs to realize who our allies are, and who the ones are who hate Christ and Christianity. The group that shall not be named, apart from the “chosen” ones, are the driving the force behind denigrating Christ because of their open hatred for Him and His followers. Yet, many Christians will bend backwards to be their goy and even deny Christ to please the “chosen” people. I also thank the non-religious friends here on X who show more love and respect for the Christian faith than many within the church. That makes you my brothers and sisters. We have a lot of work ahead of us as we remain focused on Gaza. We are all united because the fire of goodness, and true liberty burns within us, to be the voice of Palestine who is going through hell right now. #FreePalestine",-1
What I don’t understand is the lack of willingness by the international community to demand Israel stop killing Palestinians and razing Gaza to the ground. After years of oppression and colonization and thousands murdered in a Palestinian genocide. #FreePalestine,-1
"What I don't understand is the lack of willingness by the intl community to demand Hezbollah stop its rocket fire. 

After 12 children were murdered in Majdal Shams, isn't it essential that the illegal rocket fire from Lebanon cease?",1
"I'm trying to understand it. Is there any other border in the world where a ""militant"" group or cartel or terror group can launch 6,000 rockets and missiles and no one seems to care? Why is Hezbollah tolerated by the intl community? Why is it appeased? If the intl community had done more about Hezbollah, the twelve children in Majdal Shams would be alive today.",1
"Free free Palestine, Free Free Palestine 🎺
#FreePalestine",-1
Israel's main targets are babies. Shame on the terrorist state and shame on the arseholes in power for allowing this horrific genocide to continue!!!  #IsraeliNazis #GenocideinPalestine #PalestinianHolocaust #FreePalestine #auspol,-1
"This is the daily tragedy of the Palestinians, Apart from the events of October 7
O Allah, take care of the Zionists And the hypocrites who blame whom are defending these people.

#GazaGenocide 
#FreePalestine",-1
"Zionist always making trouble in every place. 
- Saoirse Don Phalaistin - (Freedom for Palestine)
#freepalestine #saoirsedonphalaistin #palestinemerdeka",-1
"Irish people always stands with Palestine

Once again they came to streets of Dublin for Palestine and chanted #FreePalestine",-1
"Every single damn accusation by Israel is a confession. Israel is the terrorist entity. Israel is the rapist, child murderer, and oppressor. Yet, even when they confess to all of this their supporters will still give them a pass and believe Israel is the victim. #FreePalestine",-1
Why are so many countries babying Israel and letting it do whatever it wants #FreePalestine,-1
Come on Axelsen! Humiliate the zionist! #Badminton #Paris2024 #StopTheGenocideInPalestine #FreePalestine,-1
"""bring them home"" yeah!! bring the palestinians BACK to their ORIGINAL homes!! #freepalestine",-1
"fight me if u want but being Israeli isn’t an excuse to support genocide. I’m a proud Serb but my heart still goes out to all the losses during the Yugoslav war 

#FreePalestine 🇵🇸",-1
"Out of the ashes, we always rise. 
Team Palestine 🇵🇸 #Olympics  #Paris2024",-1
I just wish I wake up someday and someone tells me the genocide is over. #freepalestine,-1
"""Netanyahu, war criminal!""
""Netanyahu, son of a dog!""

#FreePalestine",-1
"I’m boycotting genocide.
Boycott the #GenocideOlympics.
#FreePalestine",-1
Who says Boycott don't work... remember this is for life!!! #FreePalestine #FreeGaza,-1
"Palestine will always conquer 🇵🇸 
@bullyb170
 #ufc304",-1
"BREAKING:

Israel bombed one of the most densely populated areas in Beirut, Lebanon, deliberately targeting civilian zones.

This is not “self-defense”. This is terrorism.",-1
"You would be fooling yourself if you believe that israel's attack on Lebanon is done by keeping the Washington in the dark. This also means US gave the go ahead to escalate the matter. 

If you dont want to escalate things you dont bomb a densely populated residential area.",-1
I thought Lebanon has been bombing Israel for the last few months?,1
Orwellian Zionism: bombing densely populated areas and raping unarmed prisoners is self defense,-1
I don't think they called it self-defense. It is retaliation. Lebanon fired rockets at children playing soccer. It is terrible. Civilians should never be targeted - but that is the war the people of the middle east have chosen to wage upon one another. Shame on all of them.,0
"Hezbollah always claim responsibility 

Never believe an Israeli!",-1
"Hezbollah just bombed a soccer field killing 12 kids and dozens more wounded. 

Action. Consequence.",0
"Oh so Sarah, it wasn’t terroism when Hezbollah killed several children?",0
"Palestinians started the war, and continue to complain that it’s Israel’s fault. Perhaps Allah’s will is that the Palestinians and Hamas discover it (Allah) has chosen!",1
So what was Hezbollah doing targeting children/teenagers in a soccer field?,0
We stand with Lebanon,-1
"Israel just bombed a residential area near a hospital in Beirut, Lebanon and violated Security Council resolution SCR 1701 with absolutely no consequences. This is a war crime.

Lebanon has the right to defend itself under international law.",-1
"Correction: ""Israel just blew up Hezbollah terrorists in Beruit and were successful in sending Fuad Shukr, Hezbollah's 2nd in command to his judgment",0
"The targeted assassination was against the commander who ordered the Majdal Shams attack. Hopefully, the world has been relieved of his presence.",1
"Given your stated desire for truth & acknowledgment that Israel would never admit anything that makes it look bad, I assume you rigorously asked & saw sufficient evidence showing it was Hezbollah, which denies it & not an Israeli or errant Iron Dome missile? If so, what was it?",-1
Hezbollah started it by bombing a kids’ soccer field in Golan Heights.,0
"BREAKING: Big explosion in Dahiyeh, Beirut #Lebanon, suspected Israeli strike targeting Hezbollah Shura Council. Initial footage from area via Jadeed",0
"This is coming 
- As Israel expected to hit Hezbollah after Golan Heights attack 
- It hits Beirut suburb, despite US warnings to avoid Lebanon capital 
- Unclear who was hit
- Last time Israel hit Dahiyeh was January killing Hamas leader Arouri",0
"🇱🇧A SkyNews reporter gets a reality check after calling Hezbollah a Militia in the suburbs of Beirut, Lebanon:

“They are not militias, They are freedom fighters! They are fighting to defend us. Stop calling them a militias”

This man is a legend🔥👏🏻",-1
"Israel carried out a strike in Beirut on Tuesday, saying it targeted a Hezbollah commander whom it blamed for an assault that killed 12 people in the Israeli-controlled Golan Heights. It's Israel's second strike on Beirut since the Hamas attacks last fall.",0
"Breaking | After Israel targeted a top Hezbollah terrorist leader, Lebanon continues to celebrate. Everyone is happy. The Arab world shares in this joy, remembering how Hezbollah killed 12 Druze babies in northern Israel and committed genocide in Syria. Congrats",1
All non-radical Muslims and our Christian and Druze friends in Lebanon pray for Israel to destroy Hezbollah and bring freedom back to Lebanon.,1
"DEVELOPING & BREAKING 🇮🇱🇱🇧

Casualties of the Israeli strike on Beirut, Lebanon has reached 17 w/ 6 children.

Hundreds of local residents gather at impact site. Fire & ambulance crews continue to work.

Israeli aircraft still spotted in skies over Beirut.",0
"Twelve children, Druse Arab boys and girls ranging in age from 10 to 16, were killed after a rocket from Lebanon struck a village in the Israeli-controlled Golan Heights on Saturday. A day later, a stunned hush of collective mourning fell over the town.",0
"This is Beirut’s Haret Hreik following Israel’s bombing.

Children are still missing under the rubble.

Only Israel can obliterate entire civilian neighborhoods in Lebanon, Palestine and Syria, while crying victim at the same time.",-1
"Israel is bombing on one of the most densely populated areas in Beirut, Lebanon and killing innocent civilians, while its parliament is debating whether it’s okay to rape Palestinians.",-1
"A rocket from Lebanon struck a soccer field on Saturday in the Israeli-controlled Golan Heights, killing at least 12 people, mostly teenagers and children, according to the Israeli military.",0
"Israel beheaded a baby in Gaza’s Nuseirat camp today.

This video could pressure Israel to agree to a ceasefire, which would bring all captives home and freeze the conflict with Yemen, Lebanon and Iran. But legacy media will not show it and our political class won’t discuss it. They’re all complicit in genocide.",-1
